"location","device","filter","day","elapsed_time","n_readings","daily_mean_pm","daily_95_pm","daily_mean_rh","daily_mean_t"
"JPL","AD00402","J2053",2025-05-01,21,64,15.3,18.8,37.9,26
"JPL","AD00402","J2071",2025-04-30,4.7,15,27.6,32.1,34.2,29.7
"JPL","AD00402","J2071",2025-04-29,23.7,72,13.1,26.7,30.4,27.5
"JPL","AD00402","J2071",2025-04-28,23.6,72,7.8,11.2,33.5,23.7
"JPL","AD00402","J2071",2025-04-27,23.7,72,2.6,6.8,35.1,21.1
"JPL","AD00402","J2071",2025-04-26,23.7,72,1.3,2.8,34.9,19.5
"JPL","AD00402","J2071",2025-04-25,23.7,72,3,6.1,35.5,20.5
"JPL","AD00402","J2071",2025-04-24,24,73,9.9,14.8,36.8,23.3
"JPL","AD00402","J2071",2025-04-23,23.7,72,10.5,16.5,40.2,22.9
"Tainan, Taiwan","AD00403","J2436",2025-04-23,9.3,29,18.1,23,32.9,42.1
"Tainan, Taiwan","AD00406","J2375",2025-04-23,9.3,29,17.9,22.8,30.9,41.3
"JPL","AD00402","J2031",2025-04-22,0.3,2,21.2,21.6,31.7,28.5
"Tainan, Taiwan","AD00403","J2436",2025-04-22,23.7,72,20.2,28.1,37.1,39.3
"Tainan, Taiwan","AD00406","J2375",2025-04-22,23.7,72,14.7,19.4,36.9,37.4
"JPL","AD00402","J2031",2025-04-21,23.7,72,11.6,23.7,25.6,25.4
"Tainan, Taiwan","AD00403","J2442",2025-04-21,9.3,29,19.8,28.4,30.9,45.2
"Tainan, Taiwan","AD00406","J2370",2025-04-21,9.3,29,20,30.5,29.2,44
"JPL","AD00402","J2031",2025-04-20,23.7,72,6,9.8,23.2,26.5
"Tainan, Taiwan","AD00403","J2442",2025-04-20,23.7,72,22.8,32.3,38.8,39.4
"Tainan, Taiwan","AD00406","J2370",2025-04-20,23.7,72,15.9,22.5,38.2,37.7
"Adama, Ethiopia","AD00412","J0001",2025-04-19,23.7,55,54.8,101.1,14.1,38.6
"JPL","AD00402","J2031",2025-04-19,24,73,4.2,7.5,24.6,25.2
"JPL","AD00402","J2031",2025-04-18,23.7,72,7.1,10.1,39.3,21.4
"Tainan, Taiwan","AD00406","J2117",2025-04-18,9.3,29,6.1,8,30.1,41.5
"JPL","AD00402","J2024",2025-04-17,1,4,3.5,3.8,37.9,22.5
"Tainan, Taiwan","AD00406","J2117",2025-04-17,23.7,72,8.5,12.1,38.7,37.1
"Adama, Ethiopia","AD00410","J0001",2025-04-16,1.3,3,23.9,26.2,23,31.4
"Adama, Ethiopia","AD00410","J0001",2025-04-16,5.3,12,23.5,35,23.1,31.9
"JPL","AD00402","J2024",2025-04-16,23.7,72,2.7,6.1,34.8,22.3
"JPL","AD00402","J2029",2025-04-13,0.7,3,27.7,29.3,33,30.2
"Tainan, Taiwan","AD00403","J2456",2025-04-13,14.7,45,12.6,19.4,37.9,27.9
"JPL","AD00402","J2029",2025-04-12,23.7,72,26.6,39.6,27.2,28
"Tainan, Taiwan","AD00403","J2456",2025-04-12,23.7,72,12.4,23.2,39.6,34.5
"Tainan, Taiwan","AD00406","J2360",2025-04-12,9.3,29,12.9,16.7,32.1,39.3
"JPL","AD00402","J2029",2025-04-11,23.6,72,6.7,16,21.2,30.6
"Tainan, Taiwan","AD00403","J2456",2025-04-11,23.7,73,15.2,22.9,36.8,38.2
"Tainan, Taiwan","AD00406","J2360",2025-04-11,23.7,72,11.5,20.4,36,36.7
"JPL","AD00402","J2029",2025-04-10,23.7,72,7,14.9,21.3,31.2
"JPL","AD00402","J2029",2025-04-09,23.7,72,7,12.8,21.9,30.7
"JPL","AD00402","J2029",2025-04-08,23.7,72,7.6,16.7,22.6,28.8
"JPL","AD00402","J2029",2025-04-07,23.7,72,4.2,6.7,19.3,28
"JPL","AD00402","J2029",2025-04-06,24,73,1.5,2.8,14.7,28
"Tainan, Taiwan","AD00406","J2405",2025-04-06,9,28,20.4,30.7,30,38.7
"Amity University Noida, India","AD00414","J2170",2025-04-05,0.3,2,116,128.5,21,41.2
"JPL","AD00402","J2029",2025-04-05,23.7,70,0.7,1.7,16.8,28.1
"Tainan, Taiwan","AD00406","J2405",2025-04-05,24,73,27.7,36.9,37.9,30
"Amity University Noida, India","AD00414","J2170",2025-04-04,23.7,72,59,149,16.9,41
"JPL","AD00402","J2069",2025-04-04,0.7,3,4.5,5.3,31.4,28.2
"Amity University Noida, India","AD00414","J2170",2025-04-03,23.6,72,81.9,153,15.8,40.5
"JPL","AD00402","J2069",2025-04-03,23.7,72,2.6,4.9,29.9,20.5
"Tainan, Taiwan","AD00406","J2037",2025-04-03,9,28,16.8,21.2,28.6,35.7
"Amity University Noida, India","AD00414","J2170",2025-04-02,23.7,72,102.9,230.1,17.5,39.4
"JPL","AD00402","J2069",2025-04-02,23,50,1.3,2.7,25.5,20.2
"Tainan, Taiwan","AD00406","J2037",2025-04-02,24,73,29,35.2,33.5,27.7
"Amity University Noida, India","AD00414","J2170",2025-04-01,23.7,72,68.1,192.5,17.7,38
"JPL","AD00402","J2069",2025-04-01,21.7,58,0.6,2.1,28.9,23.1
"Amity University Noida, India","AD00414","J2170",2025-03-31,23.7,72,63.1,183.2,18.3,37.7
"Amity University Noida, India","AD00414","J2170",2025-03-30,23.7,72,64.7,206.1,19,35.9
"Amity University Noida, India","AD00414","J2170",2025-03-29,24,73,44.4,82.9,19.6,33.9
"Amity University Noida, India","AD00413","J2438",2025-03-28,13,40,26.5,41,8.9,40.6
"Amity University Noida, India","AD00414","J2170",2025-03-28,23.7,72,29.1,59.2,17,37.6
"Tainan, Taiwan","AD00403","J2462",2025-03-28,13,40,20.4,27.9,31.5,38.1
"Tainan, Taiwan","AD00406","J2139",2025-03-28,12,37,20.9,26.6,29.3,37.5
"Amity University Noida, India","AD00413","J2416",2025-03-27,23,70,75.7,185.7,18.1,37.2
"Amity University Noida, India","AD00414","J2196",2025-03-27,23,70,71.7,193.9,21.8,39.9
"JPL","AD00402","J2027",2025-03-27,22,67,7,17.4,44.5,20.1
"Tainan, Taiwan","AD00403","J2462",2025-03-27,23.7,72,16,22,37.3,37.8
"Tainan, Taiwan","AD00406","J2139",2025-03-27,24,73,11.5,14.3,36.4,36.3
"Amity University Noida, India","AD00413","J2416",2025-03-26,24,73,148.2,250.9,16.5,38
"Amity University Noida, India","AD00414","J2196",2025-03-26,24,73,133.3,234.5,19.9,41.3
"JPL","AD00402","J2018",2025-03-26,0,1,16.8,16.8,43.9,17.5
"JPL","AD00402","J2027",2025-03-26,23.7,72,12.9,20.3,47.5,20.2
"Tainan, Taiwan","AD00403","J2439",2025-03-26,9.3,29,16.5,20.1,31.8,41
"Tainan, Taiwan","AD00406","J2386",2025-03-26,9,28,15.8,18.4,29.7,40.1
"Amity University Noida, India","AD00413","J2416",2025-03-25,23.7,68,150.7,244,15.8,41.3
"Amity University Noida, India","AD00414","J2196",2025-03-25,23.7,72,93.4,148.5,19.8,43.7
"JPL","AD00402","J2018",2025-03-25,24,73,22.2,38.3,33.7,24.6
"Tainan, Taiwan","AD00403","J2439",2025-03-25,23.7,72,27.7,57.5,36.8,36.3
"Tainan, Taiwan","AD00406","J2386",2025-03-25,24,73,19.9,41,36.7,34.3
"Amity University Noida, India","AD00414","J2184",2025-03-24,23,70,159.5,306.6,22.3,37.8
"JPL","AD00402","J2018",2025-03-24,23.7,72,4.8,9.4,29.9,30.7
"Tainan, Taiwan","AD00403","J2441",2025-03-24,9,28,17.8,22.7,25.2,40.3
"Tainan, Taiwan","AD00406","J2388",2025-03-24,9,28,12.2,15.7,24.1,38.7
"Amity University Noida, India","AD00414","J2184",2025-03-23,23.7,72,132.5,300.3,25.3,36.6
"Tainan, Taiwan","AD00403","J2441",2025-03-23,24,73,25.5,41.2,26.3,35.4
"Tainan, Taiwan","AD00406","J2388",2025-03-23,24,73,19.2,33.1,28,32.1
"Amity University Noida, India","AD00414","J2184",2025-03-22,24,73,103.4,198.8,27.2,35.3
"Tainan, Taiwan","AD00403","J2458",2025-03-22,9.3,29,21.4,34.8,17.7,39.5
"Tainan, Taiwan","AD00406","J2151",2025-03-22,9.3,29,24,40.2,19.4,37.8
"Amity University Noida, India","AD00413","J2423",2025-03-21,21,64,70.5,149.6,18.7,38.1
"Amity University Noida, India","AD00414","J2184",2025-03-21,23.7,72,58.5,120.8,24.9,38.5
"Tainan, Taiwan","AD00403","J2458",2025-03-21,23.7,72,44.3,77.1,27,33.7
"Tainan, Taiwan","AD00406","J2151",2025-03-21,23.7,72,35.5,66.7,29.5,30
"Amity University Noida, India","AD00413","J2443",2025-03-20,23.3,71,82.5,169.8,20.6,33.5
"Amity University Noida, India","AD00414","J2202",2025-03-20,23.3,71,80,177.4,24.5,36.6
"Amity University Noida, India","AD00413","J2443",2025-03-19,23.7,72,88.1,163.5,19.4,38.6
"Amity University Noida, India","AD00414","J2202",2025-03-19,23.7,72,64.4,122.7,25.1,39
"Amity University Noida, India","AD00413","J2483",2025-03-18,22.7,69,96.1,200.5,21.1,35.2
"Amity University Noida, India","AD00414","J2177",2025-03-18,22.6,69,93.3,205.2,28.6,34.7
"Amity University Noida, India","AD00413","J2483",2025-03-17,23.7,72,91.9,150.8,23.8,34.3
"Amity University Noida, India","AD00414","J2177",2025-03-17,23.7,72,89.2,151.2,31.2,33.7
"Amity University Noida, India","AD00413","J2483",2025-03-16,23.7,72,95.2,209.3,23.8,35.3
"Amity University Noida, India","AD00414","J2177",2025-03-16,23.7,72,92,213.6,31.1,34.7
"Amity University Noida, India","AD00413","J2483",2025-03-15,23.7,72,68.2,116.1,25.8,34.6
"Amity University Noida, India","AD00414","J2177",2025-03-15,23.7,72,65.9,116.1,32.1,34.5
"Tainan, Taiwan","AD00403","J2440",2025-03-15,14.3,44,20.8,41.9,36.1,37.3
"Tainan, Taiwan","AD00406","J2060",2025-03-15,9.3,29,27.9,51.9,32,40.4
"Amity University Noida, India","AD00413","J2483",2025-03-14,24,73,61.9,143.5,23.2,35.6
"Amity University Noida, India","AD00414","J2177",2025-03-14,23.7,72,56.1,131.6,29.8,35.4
"Tainan, Taiwan","AD00403","J2440",2025-03-14,23.7,73,41.9,69.7,39.1,36.9
"Tainan, Taiwan","AD00406","J2060",2025-03-14,23.7,72,32.2,54.9,38.7,35.1
"Amity University Noida, India","AD00413","J2483",2025-03-13,23.7,72,190.9,355.5,24.2,36.8
"Amity University Noida, India","AD00414","J2177",2025-03-13,24,73,179.5,330.6,31.4,36.6
"Tainan, Taiwan","AD00403","J2467",2025-03-13,9,28,26,51.4,35.3,42.6
"Tainan, Taiwan","AD00406","J2034",2025-03-13,9.3,29,27.5,54.1,34.8,41.1
"Amity University Noida, India","AD00413","J2483",2025-03-12,23.7,72,103.9,209,20.2,40.1
"Amity University Noida, India","AD00414","J2177",2025-03-12,23.7,72,80,151,27.5,39.5
"Tainan, Taiwan","AD00403","J2467",2025-03-12,23.7,72,30,56.7,32.7,39.9
"Tainan, Taiwan","AD00406","J2034",2025-03-12,23.7,72,22.4,44.5,35.4,36.2
"Amity University Noida, India","AD00413","J2424",2025-03-11,23.6,66,199.3,311.8,23.7,37
"Amity University Noida, India","AD00414","J2179",2025-03-11,23.6,72,189.6,319.7,30.3,37.1
"Amity University Noida, India","AD00413","J2424",2025-03-10,23.7,59,221.8,347.7,24,36.8
"Amity University Noida, India","AD00414","J2179",2025-03-10,23.7,72,161.7,255.3,30.4,36.9
"Tainan, Taiwan","AD00406","J2067",2025-03-08,9,28,35.2,45.5,32.1,34.3
"Tainan, Taiwan","AD00406","J2067",2025-03-07,24,73,28,39.9,38.9,26.6
"Amity University Noida, India","AD00413","J1493",2025-03-06,5.7,15,48.7,67.3,15.3,37.4
"Amity University Noida, India","AD00414","J1735",2025-03-06,5.7,18,44,66.4,23,36.3
