"Filter ID","Device","PM2.5 Concentration (µg/m³)","Location","Day"
"J0459","AD00089",11.34977844,"Atlanta",2022-09-07
"J0543","AD00089",7.438732737,"Atlanta",2022-09-30
"J0573","AD00089",8.658105038,"Atlanta",2022-09-20
"J1013","AD00403",8.788588137,"Atlanta",2023-06-24
"J1014","AD00403",21.01528773,"Atlanta",2023-07-01
"J1024","AD00403",8.911258127,"Atlanta",2023-07-08
"J1025","AD00403",16.34946321,"Atlanta",2023-06-28
"J1028","AD00403",9.432419105,"Atlanta",2023-07-24
"J1035","AD00403",19.85861144,"Atlanta",2023-07-17
"J1040","AD00403",7.342013488,"Atlanta",2023-06-21
"J1045","AD00403",10.62251607,"Atlanta",2023-06-17
"J1057","AD00403",32.09379948,"Atlanta",2023-07-05
"J1166","AD00403",10.39545535,"Atlanta",2023-09-08
"J1168","AD00403",16.68561676,"Atlanta",2023-07-27
"J1169","AD00403",9.73667698,"Atlanta",2023-08-09
"J1173","AD00409",9.548540065,"Atlanta",2023-10-23
"J1179","AD00409",17.03274731,"Atlanta",2023-10-13
"J1184","AD00409",12.6715379,"Atlanta",2023-09-08
"J1185","AD00407",6.825540428,"Atlanta",2023-10-11
"J1191","AD00409",32.54227774,"Atlanta",2023-08-24
"J1194","AD00409",10.14549619,"Atlanta",2023-09-20
"J1197","AD00403",8.411351668,"Atlanta",2023-09-02
"J1199","AD00409",9.273868314,"Atlanta",2023-09-02
"J1200","AD00403",9.265777393,"Atlanta",2023-08-12
"J1201","AD00409",10.896407,"Atlanta",2023-08-31
"J1202","AD00409",14.27217402,"Atlanta",2023-09-13
"J1204","AD00407",7.538458496,"Atlanta",2023-09-20
"J1206","AD00409",10.08113446,"Atlanta",2023-10-28
"J1209","AD00403",8.288538657,"Atlanta",2023-08-31
"J1211","AD00403",10.17040818,"Atlanta",2023-08-03
"J1214","AD00403",8.806501852,"Atlanta",2023-08-17
"J1373","AD00405",10.32191472,"Atlanta",2023-12-14
"J1374","AD00405",7.54147813,"Atlanta",2023-11-19
"J1389","AD00405",7.8015291,"Atlanta",2023-11-21
"J1406","AD00405",9.677207081,"Atlanta",2023-12-24
"J1410","AD00405",9.138308949,"Atlanta",2023-11-09
"J1417","AD00409",14.12973667,"Atlanta",2023-11-09
"J0409","AD00103",7.094895978,"Pretoria, South Africa",2022-10-27
"J0524","AD00103",4.838937816,"Pretoria, South Africa",2023-01-24
"J0542","AD00103",8.309304561,"Pretoria, South Africa",2022-12-16
"J0549","AD00103",1.863388035,"Pretoria, South Africa",2022-10-29
"J0551","AD00103",3.263585842,"Pretoria, South Africa",2022-11-01
"J0560","AD00103",2.807510089,"Pretoria, South Africa",2022-11-03
"J0561","AD00103",1.413127959,"Pretoria, South Africa",2022-11-05
"J0562","AD00103",0.71467368,"Pretoria, South Africa",2022-11-08
"J0590","AD00103",2.22579999,"Pretoria, South Africa",2022-11-29
"J0604","AD00103",6.484385946,"Pretoria, South Africa",2022-09-29
"J0606","AD00103",0.926302236,"Pretoria, South Africa",2022-10-06
"J0607","AD00104",48.28484585,"Pretoria, South Africa",2022-09-23
"J0608","AD00103",8.338718756,"Pretoria, South Africa",2022-10-12
"J0612","AD00103",2.781457414,"Pretoria, South Africa",2022-10-17
"J0613","AD00103",4.712599631,"Pretoria, South Africa",2022-12-20
"J0614","AD00103",7.552626952,"Pretoria, South Africa",2022-12-01
"J0616","AD00103",31.31022955,"Pretoria, South Africa",2022-11-24
"J0617","AD00103",6.71961258,"Pretoria, South Africa",2022-10-14
"J0621","AD00103",44.54466995,"Pretoria, South Africa",2022-10-19
"J0635","AD00103",4.340762238,"Pretoria, South Africa",2022-12-08
"J0644","AD00103",3.596725244,"Pretoria, South Africa",2022-12-14
"J0654","AD00103",3.225358263,"Pretoria, South Africa",2022-12-10
"J0658","AD00103",2.304194969,"Pretoria, South Africa",2022-11-10
"J0660","AD00103",41.21629757,"Pretoria, South Africa",2022-09-23
"J0669","AD00103",5.028984121,"Pretoria, South Africa",2022-11-26
"J0747","AD00103",2.108644824,"Pretoria, South Africa",2023-02-02
"J0748","AD00103",4.097856821,"Pretoria, South Africa",2023-03-09
"J0756","AD00103",3.990751755,"Pretoria, South Africa",2023-01-19
"J0758","AD00103",11.16187698,"Pretoria, South Africa",2023-01-26
"J0759","AD00103",2.975238577,"Pretoria, South Africa",2023-01-31
"J0761","AD00103",3.721345639,"Pretoria, South Africa",2023-02-17
"J0762","AD00103",11.537846,"Pretoria, South Africa",2023-01-20
"J0763","AD00103",3.596711861,"Pretoria, South Africa",2023-02-07
"J0770","AD00103",1.364508634,"Pretoria, South Africa",2023-02-04
"J0772","AD00103",4.230102655,"Pretoria, South Africa",2023-03-20
"J0778","AD00103",1.73658919,"Pretoria, South Africa",2023-02-15
"J0779","AD00103",2.233621967,"Pretoria, South Africa",2023-02-23
"J0780","AD00103",7.568595045,"Pretoria, South Africa",2023-01-28
"J0784","AD00103",9.184822205,"Pretoria, South Africa",2023-03-01
"J0785","AD00103",2.729047736,"Pretoria, South Africa",2023-02-21
"J0790","AD00103",2.730561813,"Pretoria, South Africa",2023-03-07
"J0795","AD00103",4.352405575,"Pretoria, South Africa",2023-03-17
"J0911","AD00103",4.33325226,"Pretoria, South Africa",2023-06-10
"J0912","AD00103",0.82096414,"Pretoria, South Africa",2023-05-04
"J0921","AD00103",0.852613046,"Pretoria, South Africa",2023-06-20
"J0924","AD00103",3.551403146,"Pretoria, South Africa",2023-04-25
"J0925","AD00103",10.52316992,"Pretoria, South Africa",2023-06-03
"J0929","AD00103",3.121060509,"Pretoria, South Africa",2023-04-22
"J0931","AD00103",2.693430864,"Pretoria, South Africa",2023-06-18
"J0933","AD00103",3.983326932,"Pretoria, South Africa",2023-06-22
"J0937","AD00103",0.136568924,"Pretoria, South Africa",2023-04-27
"J0939","AD00103",2.239663603,"Pretoria, South Africa",2023-06-06
"J0945","AD00103",2.562349378,"Pretoria, South Africa",2023-04-17
"J0947","AD00103",15.28254481,"Pretoria, South Africa",2023-06-15
"J0948","AD00103",1.933736379,"Pretoria, South Africa",2023-05-25
"J0950","AD00103",4.374435254,"Pretoria, South Africa",2023-05-02
"J1008","AD00103",8.414699196,"Pretoria, South Africa",2023-07-27
"J1009","AD00103",3.466204506,"Pretoria, South Africa",2023-08-08
"J1010","AD00103",2.687419201,"Pretoria, South Africa",2023-07-14
"J1015","AD00103",2.138086156,"Pretoria, South Africa",2023-09-05
"J1018","AD00103",3.795360026,"Pretoria, South Africa",2023-08-19
"J1029","AD00103",4.233100805,"Pretoria, South Africa",2023-08-17
"J1034","AD00103",31.78265206,"Pretoria, South Africa",2023-09-07
"J1036","AD00103",4.121859214,"Pretoria, South Africa",2023-07-04
"J1037","AD00103",6.290771146,"Pretoria, South Africa",2023-09-12
"J1041","AD00103",1.715287933,"Pretoria, South Africa",2023-07-20
"J1043","AD00103",0.873042203,"Pretoria, South Africa",2023-09-01
"J1044","AD00103",3.692216807,"Pretoria, South Africa",2023-06-24
"J1046","AD00103",1.147061944,"Pretoria, South Africa",2023-08-12
"J1047","AD00103",0.714023566,"Pretoria, South Africa",2023-08-02
"J1048","AD00103",29.7882469,"Pretoria, South Africa",2023-07-18
"J1050","AD00103",5.572296886,"Pretoria, South Africa",2023-08-22
