"Device","Number of valid filters","Mean PM2.5 Concentration (µg/m³)","Median","75th percentile","95th percentile","Max","Location"
"AD00089",3,9.14887207166667,8.658105038,10.003941739,11.0806110998,11.34977844,"Atlanta"
"AD00403",17,12.716134331,9.73667698,16.34946321,23.23099008,32.09379948,"Atlanta"
"AD00405",5,8.896087596,9.138308949,9.677207081,10.1929731922,10.32191472,"Atlanta"
"AD00407",2,7.181999462,7.181999462,7.360228979,7.5028125926,7.538458496,"Atlanta"
"AD00409",10,14.0593919669,11.78397245,14.2365646825,25.5629890465,32.54227774,"Atlanta"
"AD00103",77,6.10691260864935,3.596725244,5.572296886,30.09264343,44.54466995,"Pretoria, South Africa"
"AD00104",6,15.3088697145,9.9200021645,18.2600430325,41.054548655,48.28484585,"Pretoria, South Africa"
"AD00090",2,16.85342481,16.85342481,17.27903484,17.619522864,17.70464487,"Amity University Noida, India"
"AD00102",17,48.1715007023529,33.22047631,60.79323007,120.90680088,150.1454904,"Amity University Noida, India"
"AD00414",13,36.3147026830769,35.67551394,41.86206513,61.39436143,63.9945769,"Amity University Noida, India"
"AD00088",6,10.7875269711667,7.527813957,17.5692691795,20.57779016,20.60600167,"Amity University Manesar, India"
"AD00096",9,319.358717661111,346.6601827,421.6182578,663.31458656,785.7218096,"Sonipat, India"
"AD00092",8,6.127117579375,6.483965717,7.767386657,10.31849823485,11.11361939,"Tainan, Taiwan"
"AD00101",13,32.9787624953846,25.70408348,28.56107891,87.078037962,99.76851852,"Tainan, Taiwan"
"AD00403",32,30.04093767825,24.15025705,37.04592118,56.6407306675,101.4883338,"Tainan, Taiwan"
"AD00094",5,9.4448198456,10.0504009,10.05133627,12.032335078,12.52758478,"Taichung, Taiwan"
"AD00091",5,77.618336502,77.24789045,78.39676871,148.483415662,166.0050774,"Adama, Ethiopia"
"AD00091",2,98.296842855,98.296842855,106.3557319275,112.8028431855,114.414621,"AASTU, Ethiopia"
"AD00098",1,21.06367883,21.06367883,21.06367883,21.06367883,21.06367883,"AASTU, Ethiopia"
"AD00097",12,1.98899809391667,1.917139021,2.55914720925,3.9408738546,4.513559775,"JPL"
"AD00099",28,17.1941960686786,13.781489842,26.3762577125,49.4738210615,54.8929401,"JPL"
"AD00402",63,11.9968924693333,10.96037374,14.978087345,20.913140456,45.80746238,"JPL"
