filter,site,lat,lng,device,deploy_start,shutdown_mode,flow_avg_l_min,sample_vol_L,run_time_filter_hrs,run_time_hrs,gravi_pre_ug,gravi_post_ug,gravi_diff_ug,gravi_con_ugm3,error_flag
J0002,fort collins,40.59386,-105.075,AD00093,2020-10-16T17:20:00,2,1.96,6503.51,55.106,55.1,98063.33333,99077.66667,1014.333333,155.9670598,
J0004,fort collins,40.59387,-105.075,AD00105,2020-10-16T17:20:00,2,1.96,7018.18,59.501,59.5,97340,98132.66667,792.6666667,112.9447616,
J0005,fort collins,40.59413,-105.075,AD00097,2020-08-11T14:41:00,2,1.95,7705.43,65.681,65.68,,,,,
J0007,tainan,23.0016,120.2207,AD00092,2022-08-07T00:00:00,0,2,2880.05,24.004,46.97,,,,,
J0008,fort collins,40.59415,-105.075,AD00090,2020-08-03T16:41:00,1,1.95,,93.87,93.87,,,,,
J0010,fort collins,40.59384,-105.075,AD00103,2020-10-16T17:20:00,2,1.96,7070.08,59.897,59.89,96897,97674,777,109.8997465,
J0011,fort collins,40.59405,-105.075,AD00097,2021-06-23T15:00:00,1,1.99,2879.35,24.004,46.53,,,,,
J0012,fort collins,40.59412,-105.075,AD00098,2020-08-11T14:41:00,2,1.96,5830.69,49.363,49.36,,,,,
J0015,fort collins,40.59407,-105.075,AD00100,2021-07-27T15:00:00,1,1.96,2832.77,24.003,78.24,,,,,
J0016,fort collins,40.59412,-105.075,AD00093,2021-06-30T15:00:00,2,2,2880.01,24.004,52.16,,,,,
J0017,fort collins,40.59386,-105.075,AD00102,2020-10-16T17:21:00,2,1.96,6062.47,51.362,51.36,96717.66667,97754,1036.333333,170.9424267,
J0018,fort collins,40.5942,-105.075,AD00099,2020-07-29T17:41:00,2,1.96,7250.86,61.477,61.47,96691.66667,97186.66667,495,68.2677641,
J0019,fort collins,40.59413,-105.075,AD00095,2020-07-29T17:40:00,2,1.96,7854.41,66.751,66.75,98276.66667,98902,625.3333333,79.61557053,
J0020,fort collins,40.59408,-105.075,AD00101,2020-08-11T18:01:00,2,1.96,7468.72,63.403,63.4,,,,,
J0021,fort collins,40.59407,-105.075,AD00089,2020-10-02T22:40:00,2,1.96,4160.64,35.236,35.23,98484.33333,98820,335.6666667,80.67669077,
J0022,fort collins,40.5941,-105.075,AD00100,2020-10-02T22:41:00,2,1.96,4059.83,34.362,34.36,97134.33333,97354.66667,220.3333333,54.27156638,
J0023,fort collins,40.59405,-105.075,AD00102,2020-10-02T22:20:00,2,1.96,3308.24,28,28,96516.66667,96811.33333,294.6666667,89.0705229,
J0024,fort collins,40.59409,-105.075,AD00095,2020-10-02T22:40:00,2,1.96,3722.64,31.521,31.52,97677.33333,97903.33333,226,60.70960394,
J0025,fort collins,40.59408,-105.075,AD00099,2020-10-02T22:40:00,2,1.96,3468.91,29.373,29.37,97382,97621.66667,239.6666667,69.08990624,
J0026,fort collins,40.59403,-105.075,AD00103,2020-10-02T22:20:00,2,1.96,3993.57,33.819,33.81,96756,97140.33333,384.3333333,96.23803598,
J0027,fort collins,40.5941,-105.075,AD00093,2020-10-02T22:40:00,2,1.96,3883.75,32.881,32.88,96849.66667,97152.33333,302.6666667,77.93155241,
J0028,fort collins,40.59413,-105.075,AD00096,2020-10-02T22:20:00,2,1.96,3941.61,33.399,33.39,96066.66667,96650.66667,584,148.1628066,
J0030,sonipat,28.95262,77.10382,AD00096,2022-08-06T00:00:00,0,1.99,2879.73,24.004,43.98,96263.33333,98526,2262.666667,785.7218096,
