"location","device","filter","day","elapsed_time","n_readings","daily_mean_pm","daily_95_pm","daily_mean_rh","daily_mean_t"
"JPL","AD00402","J2053",2025-05-01,21,64,15.3,18.8,37.9,26
"JPL","AD00402","J2071",2025-04-30,4.7,15,27.6,32.1,34.2,29.7
"JPL","AD00402","J2071",2025-04-29,23.7,72,13.1,26.7,30.4,27.5
"JPL","AD00402","J2071",2025-04-28,23.6,72,7.8,11.2,33.5,23.7
"JPL","AD00402","J2071",2025-04-27,23.7,72,2.6,6.8,35.1,21.1
"JPL","AD00402","J2071",2025-04-26,23.7,72,1.3,2.8,34.9,19.5
"JPL","AD00402","J2071",2025-04-25,23.7,72,3,6.1,35.5,20.5
"JPL","AD00402","J2071",2025-04-24,24,73,9.9,14.8,36.8,23.3
"JPL","AD00402","J2071",2025-04-23,23.7,72,10.5,16.5,40.2,22.9
"Tainan, Taiwan","AD00403","J2436",2025-04-23,9.3,29,18.1,23,32.9,42.1
"Tainan, Taiwan","AD00406","J2375",2025-04-23,9.3,29,17.9,22.8,30.9,41.3
"JPL","AD00402","J2031",2025-04-22,0.3,2,21.2,21.6,31.7,28.5
"Tainan, Taiwan","AD00403","J2436",2025-04-22,23.7,72,20.2,28.1,37.1,39.3
"Tainan, Taiwan","AD00406","J2375",2025-04-22,23.7,72,14.7,19.4,36.9,37.4
"JPL","AD00402","J2031",2025-04-21,23.7,72,11.6,23.7,25.6,25.4
"Tainan, Taiwan","AD00403","J2442",2025-04-21,9.3,29,19.8,28.4,30.9,45.2
"Tainan, Taiwan","AD00406","J2370",2025-04-21,9.3,29,20,30.5,29.2,44
"JPL","AD00402","J2031",2025-04-20,23.7,72,6,9.8,23.2,26.5
"Tainan, Taiwan","AD00403","J2442",2025-04-20,23.7,72,22.8,32.3,38.8,39.4
"Tainan, Taiwan","AD00406","J2370",2025-04-20,23.7,72,15.9,22.5,38.2,37.7
"Adama, Ethiopia","AD00412","J0001",2025-04-19,23.7,55,54.8,101.1,14.1,38.6
"JPL","AD00402","J2031",2025-04-19,24,73,4.2,7.5,24.6,25.2
"JPL","AD00402","J2031",2025-04-18,23.7,72,7.1,10.1,39.3,21.4
"Tainan, Taiwan","AD00406","J2117",2025-04-18,10.7,33,6.3,8.2,30.4,41.3
