"location","device","filter","day","elapsed_time","n_readings","daily_mean_pm","daily_95_pm","daily_mean_rh","daily_mean_t"
"Adama, Ethiopia","AD00412","J1711",2024-09-27,16.7,51,62.6,135.5,19.1,44.1
"Tainan, Taiwan","AD00406","J2187",2024-09-27,9.3,29,23.2,33.8,32.8,42.1
"Amity University Noida, India","AD00414","J1455",2024-09-26,16.3,49,29.5,43.4,46.8,37.8
"Tainan, Taiwan","AD00406","J2187",2024-09-26,23.7,72,8.6,20.2,34.8,41.5
"Tainan, Taiwan","AD00403","J2243",2024-09-25,9.3,29,1.5,3.8,31.1,45.5
"Tainan, Taiwan","AD00403","J2243",2024-09-24,23.7,72,5.3,11.4,42.4,40.2
"Tainan, Taiwan","AD00403","J2233",2024-09-23,9.3,29,14.5,25.6,38,44.4
"Tainan, Taiwan","AD00406","J2205",2024-09-23,9.3,29,13.9,26.2,36.9,42.9
"Tainan, Taiwan","AD00403","J2233",2024-09-22,23.7,72,2.1,5.3,57.5,32.7
"Tainan, Taiwan","AD00406","J2205",2024-09-22,23.7,63,0.6,2.2,47.7,34.3
"Tainan, Taiwan","AD00403","J2237",2024-09-21,9.3,29,10.9,21.7,38.7,41.3
"Tainan, Taiwan","AD00406","J1971",2024-09-21,9.3,29,10.8,21.4,34.3,40.3
"Tainan, Taiwan","AD00403","J2237",2024-09-20,23.7,72,3.4,7.2,44.1,38.5
"Tainan, Taiwan","AD00406","J1971",2024-09-20,23.7,65,1.6,3.6,37,39.5
"Adama, Ethiopia","AD00410","J1924",2024-09-19,0,1,23.9,23.9,23.5,40.1
"Adama, Ethiopia","AD00412","J1692",2024-09-18,18.7,38,75.8,148.7,18.5,43.7
"Tainan, Taiwan","AD00403","J2217",2024-09-18,9.3,29,11.8,18.4,33.2,45.9
"Amity University Noida, India","AD00413","J1967",2024-09-17,0.3,2,58.8,61.6,29.3,48.5
"Amity University Noida, India","AD00414","J1454",2024-09-17,0.3,2,64.2,65.7,42.9,43.2
"Tainan, Taiwan","AD00403","J2217",2024-09-17,23.7,72,18.2,36.7,41.4,41.3
"Adama, Ethiopia","AD00412","J1681",2024-09-16,0.7,3,58.6,64.5,29.8,35.8
"Amity University Noida, India","AD00413","J1932",2024-09-16,3.7,12,59.1,95.5,41.9,36.6
"Amity University Noida, India","AD00413","J1967",2024-09-16,24,72,56.2,87.7,33.1,41.8
"Amity University Noida, India","AD00414","J1454",2024-09-16,24,73,50,85.1,44.5,39.1
"Amity University Noida, India","AD00414","J1554",2024-09-16,3.7,12,64.4,103.7,48.6,36.6
"Tainan, Taiwan","AD00403","J2254",2024-09-16,9.3,29,12.4,17.9,31.7,45.7
"Tainan, Taiwan","AD00406","J2195",2024-09-16,9.3,29,12.4,18.4,28.5,44.6
"Amity University Noida, India","AD00413","J1932",2024-09-15,23.7,70,50,84.1,38.2,39.1
"Amity University Noida, India","AD00414","J1554",2024-09-15,23.7,71,54.8,92.8,45.9,38.7
"Tainan, Taiwan","AD00403","J2254",2024-09-15,23.7,72,12.1,25.6,39.6,40.6
"Tainan, Taiwan","AD00406","J2195",2024-09-15,23.7,72,5.3,12,31.1,42.7
